law_id,law_name,domain_code,law_type_code,ministry_name
f4d2d0ed-059c-4570-8426-b73b8a84030b,전기용품 안전기준(KC 60335-2-31),ELECTRIC,NOTICE,국가기술표준원
29b09655-aa30-4e4c-8318-ddfcfef54e1b,전기용품 안전기준(KC 60335-2-35),ELECTRIC,NOTICE,국가기술표준원
b65b91db-c43d-40d9-9d43-253b03906b46,전기용품 안전기준(KC 60335-2-40),ELECTRIC,NOTICE,국가기술표준원
dadffe80-a386-4b8e-b2f1-84ee67689cfc,전기용품 안전기준(KC 60335-2-43),ELECTRIC,NOTICE,국가기술표준원
53d2cde0-8f43-4b6a-9724-066c11b3bdb2,전기용품 안전기준(KC 60335-2-44),ELECTRIC,NOTICE,국가기술표준원
07d6868f-8634-4ac3-a721-45209e8a97e1,전기용품 안전기준(KC 60335-2-58),ELECTRIC,NOTICE,국가기술표준원
a9f3abbd-0f9d-4a80-8aa2-e3b1a473d4b5,전기용품 안전기준(KC 60335-2-6),ELECTRIC,NOTICE,국가기술표준원
73048bd4-891c-479c-882a-4577354c2164,전기용품 안전기준(KC 60335-2-60),ELECTRIC,NOTICE,국가기술표준원
fee800c6-a218-4f87-b830-ab0459f356e7,전기용품 안전기준(KC 60335-2-65),ELECTRIC,NOTICE,국가기술표준원
31e97bde-7644-4156-ac35-f80c9e2f8290,전기용품 안전기준(KC 60335-2-7),ELECTRIC,NOTICE,국가기술표준원
bbbe1ea3-5f85-40c8-a282-26bbefb626fa,전기용품 안전기준(KC 60335-2-70),ELECTRIC,NOTICE,국가기술표준원
9e4385cb-fd93-4d93-9b16-9765a9fee4db,전기용품 안전기준(KC 60335-2-71),ELECTRIC,NOTICE,국가기술표준원
24b005bd-6db1-4da1-89e6-c7d813afdca1,전기용품 안전기준(KC 60335-2-79),ELECTRIC,NOTICE,국가기술표준원
ff4ab2d7-4df4-4286-a52c-99dac4d59043,전기용품 안전기준(KC 60335-2-80),ELECTRIC,NOTICE,국가기술표준원
abe90a0b-d2d9-47b6-afa3-c4a304614578,전기용품 안전기준(KC 60335-2-82),ELECTRIC,NOTICE,국가기술표준원
04172abe-b576-454f-a073-d0f91443bd18,전기용품 안전기준(KC 60335-2-84),ELECTRIC,NOTICE,국가기술표준원
b9c0e870-b85d-414a-a36b-84eb60e80d01,전기용품 안전기준(KC 60400),ELECTRIC,NOTICE,국가기술표준원
ffb375e6-2848-4012-8311-63997cbd3025,전기용품 안전기준(KC 60598-1),ELECTRIC,NOTICE,국가기술표준원
9882dc4d-523e-4deb-b432-7021cdf6b69b,전기용품 안전기준(KC 60598-2-1),ELECTRIC,NOTICE,국가기술표준원
f3fcb27e-03f4-459b-97a7-0af9cf4f3c64,전기용품 안전기준(KC 60598-2-2),ELECTRIC,NOTICE,국가기술표준원
ca43dd3d-8dab-4980-a2d7-b6eb96ef4ca6,전기용품 안전기준(KC 60598-2-20),ELECTRIC,NOTICE,국가기술표준원
ce9e644b-df05-41f9-88d5-6174affe1049,전기용품 안전기준(KC 60598-2-21),ELECTRIC,NOTICE,국가기술표준원
